Date,Train_Data,Predicted_Data
2025-01-02,288.00000000000006,
2025-01-03,291.0000000000001,
2025-01-06,327.0,
2025-01-07,368.99999999999994,
2025-01-08,310.99999999999994,
2025-01-09,312.00000000000006,
2025-01-10,280.9999999999999,
2025-01-13,346.00000000000017,
2025-01-14,351.9999999999999,
2025-01-15,295.99999999999994,
2025-01-16,274.00000000000006,
2025-01-17,321.0,
2025-01-20,368.0000000000001,
2025-01-21,316.00000000000006,
2025-01-22,295.0000000000001,
2025-01-23,284.00000000000006,
2025-01-24,283.0,
2025-01-27,369.9999999999999,
2025-01-28,355.00000000000006,
2025-01-29,310.99999999999994,
2025-01-30,319.99999999999994,
2025-01-31,306.9999999999999,
2025-02-03,355.00000000000006,
2025-02-04,341.00000000000006,
2025-02-05,279.9999999999999,
2025-02-06,309.0000000000001,
2025-02-07,306.0,
2025-02-10,323.9999999999999,
2025-02-11,346.00000000000017,
2025-02-12,292.0,
2025-02-13,287.00000000000006,
2025-02-14,299.99999999999994,
2025-02-17,338.9999999999999,
2025-02-18,322.99999999999994,
2025-02-19,255.99999999999994,
2025-02-20,272.0000000000001,
2025-02-21,252.00000000000003,
2025-02-24,291.0000000000001,
2025-02-25,302.9999999999999,
2025-02-26,273.0,
2025-02-27,248.00000000000009,
2025-02-28,252.00000000000003,
2025-03-03,277.0,
2025-03-04,259.99999999999994,
2025-03-05,217.99999999999997,
2025-03-06,209.99999999999994,
2025-03-07,213.99999999999994,
2025-03-10,234.00000000000006,
2025-03-11,211.99999999999997,
2025-03-12,192.0,
2025-03-13,191.0,
2025-03-14,188.0,
2025-03-17,211.00000000000003,
2025-03-18,198.0,
2025-03-19,176.99999999999994,
2025-03-20,156.99999999999994,
2025-03-21,167.00000000000006,
2025-03-24,142.99999999999994,
2025-03-25,133.0,
2025-03-26,149.99999999999997,
2025-03-27,146.99999999999997,
2025-03-28,149.99999999999997,
2025-03-31,146.0,
2025-04-01,144.99999999999997,
2025-04-02,156.0,
2025-04-03,159.0,
2025-04-04,155.00000000000003,
2025-04-07,152.0,
2025-04-08,163.0,
2025-04-09,142.99999999999994,
2025-04-10,142.00000000000003,
2025-04-11,156.99999999999994,
2025-04-14,138.99999999999997,
2025-04-15,142.99999999999994,
2025-04-16,142.00000000000003,
2025-04-17,159.99999999999994,
2025-04-22,181.99999999999997,
2025-04-23,173.00000000000006,
2025-04-24,154.00000000000006,
2025-04-25,151.0,
2025-04-28,173.00000000000006,
2025-04-29,176.99999999999994,
2025-04-30,195.0,
2025-05-01,188.0,
2025-05-02,201.0,
2025-05-06,199.99999999999991,
2025-05-07,184.00000000000006,
2025-05-08,179.0,
2025-05-09,170.00000000000006,
2025-05-12,167.99999999999997,
2025-05-13,163.0,
2025-05-14,141.00000000000003,
2025-05-15,137.00000000000003,
2025-05-16,136.00000000000006,
2025-05-19,130.99999999999994,
2025-05-20,144.99999999999997,
2025-05-21,129.99999999999997,
2025-05-22,127.99999999999997,
2025-05-23,125.00000000000004,
2025-05-27,136.00000000000006,
2025-05-28,121.00000000000003,
2025-05-29,122.00000000000003,
2025-05-30,111.99999999999996,
2025-06-02,110.99999999999997,
2025-06-03,108.99999999999997,
2025-06-04,115.00000000000001,
2025-06-05,108.00000000000003,
2025-06-06,115.00000000000001,
2025-06-09,114.00000000000003,
2025-06-10,115.99999999999999,
2025-06-11,108.00000000000003,
2025-06-12,108.99999999999997,
2025-06-13,105.99999999999997,
2025-06-16,115.00000000000001,
2025-06-17,108.99999999999997,
2025-06-18,104.99999999999997,
2025-06-19,108.99999999999997,
2025-06-20,97.0,
2025-06-23,108.00000000000003,
2025-06-24,110.00000000000004,
2025-06-25,103.99999999999999,
2025-06-26,110.99999999999997,
2025-06-27,110.99999999999997,
2025-06-30,110.00000000000004,
2025-05-08,,191.66216026500157
2025-05-09,,172.90294667431843
2025-05-12,,180.46123294448736
2025-05-13,,175.51202440760144
2025-05-14,,169.7708937974106
2025-05-15,,143.95705577621123
2025-05-16,,138.6100836468251
2025-05-19,,139.69184625285743
2025-05-20,,134.86935262653375
2025-05-21,,136.67659169223745
2025-05-22,,127.5820192614687
2025-05-23,,126.70213455215848
2025-05-27,,128.18052201987797
2025-05-28,,135.1058151569756
2025-05-29,,120.27117840783859
2025-05-30,,118.37710783582713
2025-06-02,,114.04288279915433
2025-06-03,,114.98586112979498
2025-06-04,,110.77525227349722
2025-06-05,,110.17526830342187
2025-06-06,,104.49223937033285
2025-06-09,,111.67547865938278
2025-06-10,,114.46282605411213
2025-06-11,,114.5007288176571
2025-06-12,,106.40611297566173
2025-06-13,,106.7621483264297
2025-06-16,,106.9361917049827
2025-06-17,,113.33127383875785
2025-06-18,,107.24051547558712
2025-06-19,,102.58670201357317
2025-06-20,,107.22595961704819
2025-06-23,,100.67082678281614
2025-06-24,,106.19383671516721
2025-06-25,,105.97350145578514
2025-06-26,,100.67368427425528
2025-06-27,,106.17925636519938
2025-06-30,,110.80342523129316
2025-07-01,,109.44797262754948
